Country,2013,2012,2011,2010,2009,2008,2005,2000
Haiti,51.8,50.7,50,50.5,52.2,54.2,58.1,55.2
Zambia,48.3,48.7,49.7,51.2,52.8,53.2,49.1,42.6
Central African Republic,37.6,35.3,34.1,34.4,35.5,37.2,41.8,44.1
"Korea, Dem. Rep.",37.5,39.7,41.2,41.7,40.9,39.5,34.2,37.9
Namibia,37.2,38.7,39,37.6,34.3,30.5,25.4,30.4
Ethiopia,35,35.6,36.5,38.1,40,41.6,46.4,58
Chad,34.8,38,40.3,41.5,41.6,41.3,39.7,40.1
Tanzania,34.6,35,35.7,35.4,34.8,33.8,36,36.9
Rwanda,33.8,34.1,35.1,37.2,40,42.7,46.6,60.6
Tajikistan,32.3,34.7,36.5,37.4,38,38.2,42.3,38.8
Zimbabwe,31.8,32.2,33.2,34.5,35.9,37,41.1,43.7
"Congo, Rep.",31.5,31.8,32.8,33.6,34.2,34.6,30.3,35.9
Madagascar,30.5,30.8,31.2,31.5,31.7,31.9,37.4,34.8
Liberia,29.6,29.9,29.9,29.9,30.6,31.8,36.6,36.3
Timor-Leste,28.8,30.1,31.2,32.1,32.6,33.1,33.8,43.9
Mozambique,27.9,28.5,29.5,31.2,32.6,34.3,36.6,41.1
Botswana,26.6,27.4,28.8,30.4,31.8,32.5,32.8,35.6
Swaziland,26.1,24.9,24.2,23.6,22.6,21.3,15.8,21.7
"Yemen, Rep.",25.7,25.9,26.2,26.6,26.9,27.3,30.6,29.6
Uganda,25.7,25,24.7,24.9,25.1,24.6,21.9,28.4
Sierra Leone,25.5,27.4,29.4,31,32.3,33.5,39.3,38
Afghanistan,24.7,24.2,24.3,24.8,26.2,27.9,35.2,45.2
Sri Lanka,24.6,24.9,25.4,25.9,26.7,27.7,29.5,29.8
Kenya,24.3,23.8,24,24.7,25.6,25.5,31.5,31.9
Iraq,23.5,24,24.5,25.2,25.9,26.6,25.1,24.6
Mongolia,22.4,23.4,24.5,25.9,27.9,30.1,34.9,38.2
Lao PDR,21.8,21.7,22.3,23.3,24.4,24.7,29.5,39.2
Malawi,21.8,22,22.1,22.4,22.7,23.4,27.6,28.6
Pakistan,21.7,21.8,21.7,21.7,21.9,22.3,24.7,22.4
Burkina Faso,20.7,21.4,21.9,22.6,23.3,24.1,25.9,26.6
Bolivia,19.5,22,24.6,26.9,28,27.9,31,34.6
